job_title,company,location,salary,job_type,experience,posted,job_description,contact_person,recruiter_phone,recruiter_email,job_url
Customer Support Sales Coordinator / Executive,Jamidara Seeds Corporation,"Vidhyadhar Nagar, Jaipur","₹ 15,000 - 70,000 per month *","It is a Full Time role with Day Shift and a 6 days working week. To qualify for this job role, the candidate must have skills such as Computer Knowledge, Domestic Calling, Query Resolution, Non-voice/Chat Process. The role requires candidates who have a Graduate degree/certificate. The job role comes with additional perk like Insurance, PF, Medical Benefits. This job role is located in Vidhyadhar Nagar, Jaipur. The role offers Fixed + Incentives salary structure.",1 - 5 years,Posted 5 hours ago,"It is a Full Time role with Day Shift and a 6 days working week. To qualify for this job role, the candidate must have skills such as Computer Knowledge, Domestic Calling, Query Resolution, Non-voice/Chat Process. The role requires candidates who have a Graduate degree/certificate. The job role comes with additional perk like Insurance, PF, Medical Benefits. This job role is located in Vidhyadhar Nagar, Jaipur. The role offers Fixed + Incentives salary structure. 1 - 5 years ₹ 15,000 - 70,000 per month * Vidhyadhar Nagar, Jaipur Posted 5 hours ago",Not available,+91 9414429966,Not available,https://www.jobhai.com/customer-support-telecaller-sales-coordinator-executive-job-in-jamidara-seeds-corporation-vidhyadhar-nagar-jaipur-1-to-5-years-1783662601-7937981-jid
Logistics Import Export Executive,Skills,"Chomu, Jaipur","₹ 50,000 - 50,000 per month","Shreee Ram Export is actively hiring for the position of Import Export Executive in the Warehouse / Logistics category. Candidates must possess Order Picking, Order Processing for this role. It is a Full Time role with Day Shift and a 6 days working week. The role offers Fixed salary structure. This job role is located in Chomu, Jaipur. This position is suitable for candidates with up to 4 - 5 years of experience. You can earn up to ₹50000 per month.",Logistics Import Export Executive,Posted 10 days ago,"Shreee Ram Export is actively hiring for the position of Import Export Executive in the Warehouse / Logistics category. Candidates must possess Order Picking, Order Processing for this role. It is a Full Time role with Day Shift and a 6 days working week. The role offers Fixed salary structure. This job role is located in Chomu, Jaipur. This position is suitable for candidates with up to 4 - 5 years of experience. You can earn up to ₹50000 per month. Logistics Import Export Executive ₹ 50,000 - 50,000 per month Chomu, Jaipur Posted 10 days ago",Not available,+91 8279024736,Not available,https://www.jobhai.com/warehouse-logistics-import-export-executive-job-in-shreee-ram-export-chomu-jaipur-4-to-5-years-1782805606-7884993-jid
Warehouse Incharge,Smart Age India,"Malviya Nagar, Jaipur","₹ 20,000 - 50,000 per month","The role requires candidates who have a Graduate degree/certificate. The role offers Fixed salary structure. This job role is located in Malviya Nagar, Jaipur. Candidates must possess Inventory Control, Order Picking, Order Processing, Packaging and Sorting, Stock Taking, Freight Forwarding for this role. Join Smart Age India as a Warehouse Incharge in the Warehouse / Logistics sector. It is a Full Time role with Rotation Shift and a 6 days working week.",2 - 6+ years,Posted 6 days ago,"The role requires candidates who have a Graduate degree/certificate. The role offers Fixed salary structure. This job role is located in Malviya Nagar, Jaipur. Candidates must possess Inventory Control, Order Picking, Order Processing, Packaging and Sorting, Stock Taking, Freight Forwarding for this role. Join Smart Age India as a Warehouse Incharge in the Warehouse / Logistics sector. It is a Full Time role with Rotation Shift and a 6 days working week. 2 - 6+ years ₹ 20,000 - 50,000 per month Malviya Nagar, Jaipur Posted 6 days ago",Not available,+91 9935115656,Not available,https://www.jobhai.com/warehouse-logistics-warehouse-incharge-job-in-smart-age-india-malviya-nagar-jaipur-2-to-6-plus-years-1783160624-7909431-jid
Logistics Sorting Associate,Akrati Jewels Inc,"C-Scheme, Jaipur","₹ 15,000 - 25,000 per month","This role is open to candidates with up to 6 - 24 months of experience and monthly earning will be ₹25000. The role offers Fixed salary structure. The role requires candidates who have a 12th Pass degree/certificate. This job role is located in C-Scheme, Jaipur. Akrati Jewels Inc is actively hiring for the position of Sorting Associate in the Warehouse / Logistics category. It is a Full Time role with Day Shift and a 6 days working week.",6 - 24 months Experience in Warehouse / Logistics,Posted 3 days ago,"This role is open to candidates with up to 6 - 24 months of experience and monthly earning will be ₹25000. The role offers Fixed salary structure. The role requires candidates who have a 12th Pass degree/certificate. This job role is located in C-Scheme, Jaipur. Akrati Jewels Inc is actively hiring for the position of Sorting Associate in the Warehouse / Logistics category. It is a Full Time role with Day Shift and a 6 days working week. 6 - 24 months Experience in Warehouse / Logistics ₹ 15,000 - 25,000 per month C-Scheme, Jaipur Posted 3 days ago",Not available,+91 7339761697,Not available,https://www.jobhai.com/warehouse-logistics-sorting-associate-job-in-akrati-jewels-inc-c-scheme-jaipur-0-to-2-years-1783411094-7924248-jid
Logistics Picker / Packer,Blinkit,"Mahindra Sez, Jaipur","₹ 15,000 - 16,000 per month","Blinkit is actively hiring for the position of Picker / Packer in the Warehouse / Logistics category. Additional Meal may be provided based on the position and company policies. This job role is located in Mahindra Sez, Jaipur. This position comes with a Fixed pay setup. It is a Full Time role with Rotation Shift and a 6 days working week. Important documents required for the role are PAN Card, Aadhar Card, Bank Account.",0 - 6+ years,Posted 4 hours ago,"Blinkit is actively hiring for the position of Picker / Packer in the Warehouse / Logistics category. Additional Meal may be provided based on the position and company policies. This job role is located in Mahindra Sez, Jaipur. This position comes with a Fixed pay setup. It is a Full Time role with Rotation Shift and a 6 days working week. Important documents required for the role are PAN Card, Aadhar Card, Bank Account. 0 - 6+ years ₹ 15,000 - 16,000 per month Mahindra Sez, Jaipur Posted 4 hours ago",Not available,+91 9266777431,Not available,https://www.jobhai.com/warehouse-logistics-picker-packer-job-in-blinkit-mahindra-sez-jaipur-0-to-6-plus-years-1783664198-7938138-jid
Security Guard,St Wilfred Education Soci Ety,"Mansarovar, Jaipur","₹ 10,000 - 15,000 per month","This role is open to candidates with up to 1 - 6+ years of experience and monthly earning will be ₹15000. The role offers Fixed salary structure. Candidates Below 10th can apply for this job position. The vacancy is in Mansarovar, Jaipur. The role is Full Time, with Rotation Shift and a 6 days working week. Join St Wilfred Education Soci Ety as a Security Guard in the Security Guard sector.",1 - 6+ years Experience in Security Guard,Posted a day ago,"This role is open to candidates with up to 1 - 6+ years of experience and monthly earning will be ₹15000. The role offers Fixed salary structure. Candidates Below 10th can apply for this job position. The vacancy is in Mansarovar, Jaipur. The role is Full Time, with Rotation Shift and a 6 days working week. Join St Wilfred Education Soci Ety as a Security Guard in the Security Guard sector. 1 - 6+ years Experience in Security Guard ₹ 10,000 - 15,000 per month Mansarovar, Jaipur Posted a day ago",Not available,+91 9001350108,Not available,https://www.jobhai.com/security-guard-security-guard-job-in-st-wilfred-education-soci-ety-mansarovar-jaipur-1-to-6-plus-years-1783597171-7935960-jid
Bike Rider,Uber,All Jaipur,"₹ 30,000 - 35,000 per month",This role is open to candidates with up to 0 - 6 years of experience and monthly earning will be ₹35000. The role offers Fixed salary structure. It is a Full Time role with Flexible Shift and a 6 days working week. Join Uber as a Bike Rider in the Security Guard sector. Candidates Below 10th are ideal for this role.,0 - 6 years Experience in Security Guard,Posted 10+ days ago,"This role is open to candidates with up to 0 - 6 years of experience and monthly earning will be ₹35000. The role offers Fixed salary structure. It is a Full Time role with Flexible Shift and a 6 days working week. Join Uber as a Bike Rider in the Security Guard sector. Candidates Below 10th are ideal for this role. 0 - 6 years Experience in Security Guard ₹ 30,000 - 35,000 per month All Jaipur Posted 10+ days ago",Not available,+91 8130423251,Not available,https://www.jobhai.com/security-guard-bike-rider-job-in-uber-jaipur-0-to-6-years-1777970100-7609214-jid
Delivery Boy,Sure Staffing,"Mansarovar, Jaipur","₹ 45,000 - 63,000 per month *","This job role is located in Mansarovar, Jaipur. This position comes with a Fixed + Incentives pay setup. This position is suitable for candidates with up to 0 - 6 months of experience. You can earn up to ₹63000 per month. Join Sure Staffing as a Delivery Boy in the Delivery sector. It is a Full Time / Part Time role with Flexible Shift and a 6 days working week. Candidates Below 10th are ideal for this role.",0 - 6 months Experience in Delivery,Posted 10 hours ago,"This job role is located in Mansarovar, Jaipur. This position comes with a Fixed + Incentives pay setup. This position is suitable for candidates with up to 0 - 6 months of experience. You can earn up to ₹63000 per month. Join Sure Staffing as a Delivery Boy in the Delivery sector. It is a Full Time / Part Time role with Flexible Shift and a 6 days working week. Candidates Below 10th are ideal for this role. 0 - 6 months Experience in Delivery ₹ 45,000 - 63,000 per month * Mansarovar, Jaipur Posted 10 hours ago",Not available,+91 9201987046,Not available,https://www.jobhai.com/delivery-delivery-boy-job-in-sure-staffing-services-mansarovar-jaipur-0-to-0-years-1783661311-7937804-jid
Customer Support Executive,Krishna S Consultx Solutions,"Mansarovar, Jaipur","₹ 25,000 - 32,000 per month","Krishna S Consultx Solutions is actively hiring for the position of Customer Support Executive in the Customer Support / TeleCaller category. Important documents required for the role are PAN Card, Aadhar Card, Bank Account. The vacancy is in Mansarovar, Jaipur. The role offers Fixed salary structure. The role is Full Time, with Rotation Shift and a 5 days working week. Additional Cab, PF may be provided based on the position and company policies.",0 - 1 years,Posted 10 hours ago,"Krishna S Consultx Solutions is actively hiring for the position of Customer Support Executive in the Customer Support / TeleCaller category. Important documents required for the role are PAN Card, Aadhar Card, Bank Account. The vacancy is in Mansarovar, Jaipur. The role offers Fixed salary structure. The role is Full Time, with Rotation Shift and a 5 days working week. Additional Cab, PF may be provided based on the position and company policies. 0 - 1 years ₹ 25,000 - 32,000 per month Mansarovar, Jaipur Posted 10 hours ago",Not available,+91 8269397572,Not available,https://www.jobhai.com/customer-support-telecaller-customer-support-executive-job-in-krishna-s-consultx-solutions-mansarovar-jaipur-0-to-1-years-1783660350-7935205-jid
Customer Support Admission Counsellor,G Educonnect,"Adarsh Nagar, Jaipur","₹ 20,000 - 25,000 per month","Join G Educonnect as a Admission Counsellor in the Customer Support / TeleCaller sector. This position comes with a Fixed pay setup. The vacancy is in Adarsh Nagar, Jaipur. Applicants should have at least a Graduate degree or certificate. It is a Full Time role with Day Shift and a 6 days working week. This role is open to candidates with up to 6 - 24 months of experience and monthly earning will be ₹25000.",6 - 24 months Experience in Customer Support / TeleCaller,Posted 10 hours ago,"Join G Educonnect as a Admission Counsellor in the Customer Support / TeleCaller sector. This position comes with a Fixed pay setup. The vacancy is in Adarsh Nagar, Jaipur. Applicants should have at least a Graduate degree or certificate. It is a Full Time role with Day Shift and a 6 days working week. This role is open to candidates with up to 6 - 24 months of experience and monthly earning will be ₹25000. 6 - 24 months Experience in Customer Support / TeleCaller ₹ 20,000 - 25,000 per month Adarsh Nagar, Jaipur Posted 10 hours ago",Not available,+91 9001627701,Not available,https://www.jobhai.com/customer-support-telecaller-admission-counsellor-job-in-g-educonnect-private-limited-adarsh-nagar-jaipur-0-to-2-years-1783660383-7935180-jid
